Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Rhode Island School of Design,3.1000000000000014,Bachelors,Miami,M,1,0,0,2,ML Engineer,7/16,7/22,Junior SWE,11/19,11/22,Senior SWE,12/21,12/22
2,Bentley University,1.9000000000000006,Phd,New York City,N/A,0,0,1,0,Bus Driver,11/13,11/18,ML Engineer,11/14,12/14,N/A,N/A,N/A
3,SUNY New Paltz,1.7000000000000004,Masters,Washington D.C.,M,1,1,1,1,Data scientist,4/22,6/22,N/A,N/A,N/A,N/A,N/A,N/A
4,Brown University,2.8000000000000016,Bachelors,Los Angeles,F,1,0,1,2,Senior SWE,6/22,11/22,Lawyer,1/12,4/12,Lawyer,8/13,8/14
5,SUNY Binghamton University,2.8000000000000016,Masters,Los Angeles,N/A,1,1,N/A,4,Lawyer,6/11,N/A,Junior SWE,6/10,7/10,Junior SWE,7/23,10/23
6,Columbia University,4.000000000000003,Masters,Providence,F,N/A,1,N/A,2,Bus Driver,6/20,6/21,Junior SWE,1/17,1/22,Senior SWE,7/10,7/15
7,SUNY New Paltz,3.3000000000000016,Bachelors,Detroit,N/A,N/A,1,0,3,Bus Driver,10/14,11/14,N/A,N/A,N/A,N/A,N/A,N/A
8,Bentley University,2.500000000000001,Phd,Detroit,N/A,1,0,1,4,Bus Driver,10/19,N/A,Senior SWE,11/16,11/18,N/A,N/A,N/A
9,Colgate University,1.7000000000000004,Masters,Miami,F,0,0,1,2,Bus Driver,10/11,10/14,Data scientist,8/21,8/22,Data scientist,2/21,7/21
10,SUNY New Paltz,4.000000000000003,Bachelors,Los Angeles,F,0,0,0,3,Bus Driver,9/19,9/22,Data scientist,8/12,8/21,Lawyer,7/21,7/22
11,Brown University,2.3000000000000007,Phd,Washington D.C.,N/A,N/A,1,1,0,Lawyer,3/14,3/20,ML Engineer,8/21,9/21,Data scientist,5/15,5/19
12,Rhode Island School of Design,4.000000000000003,Bachelors,New York City,M,0,0,1,0,Senior SWE,8/12,8/18,Chef,1/21,11/21,Junior SWE,4/16,4/18
13,Rhode Island School of Design,1.2,Masters,Washington D.C.,N/A,N/A,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Colgate University,3.200000000000002,Phd,Detroit,F,1,0,1,0,Bus Driver,6/19,6/20,Bus Driver,1/10,1/22,Data scientist,4/19,12/19
15,Colgate University,3.6000000000000023,Bachelors,Los Angeles,M,1,1,0,3,Lawyer,11/20,11/21,Bus Driver,4/10,4/14,ML Engineer,8/18,8/22
16,Columbia University,2.1000000000000005,Masters,Providence,N/A,1,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,SUNY Binghamton University,3.6000000000000023,Masters,Los Angeles,N/A,0,1,1,2,Senior SWE,9/20,9/22,Data scientist,4/22,5/22,Bus Driver,8/13,8/18
18,SUNY New Paltz,2.4000000000000012,Bachelors,Chicago,M,0,0,0,0,Bus Driver,8/11,10/11,Lawyer,11/15,11/18,Chef,3/18,3/19
19,Colgate University,2.9000000000000012,Masters,New York City,M,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Bentley University,2.500000000000001,Bachelors,Boston,N/A,N/A,0,0,3,Bus Driver,1/23,5/23,Chef,10/22,11/22,Data scientist,2/22,10/22
21,SUNY Binghamton University,4.000000000000003,Phd,Detroit,N/A,N/A,0,0,4,Data scientist,10/12,10/19,Lawyer,7/15,7/21,N/A,N/A,N/A
22,Bentley University,4.000000000000003,Phd,Providence,N/A,0,1,0,4,ML Engineer,3/22,7/22,Senior SWE,9/12,9/16,Senior SWE,9/11,9/22
23,Rhode Island School of Design,2.9000000000000012,Phd,Washington D.C.,N/A,N/A,1,1,0,ML Engineer,8/20,11/20,Junior SWE,5/20,9/20,N/A,N/A,N/A
24,Bentley University,3.700000000000002,Phd,New York City,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25,Providence College,1.8000000000000005,Bachelors,Detroit,F,1,0,N/A,3,Bus Driver,5/22,10/22,N/A,N/A,N/A,N/A,N/A,N/A
26,Colgate University,2.9000000000000012,Masters,Detroit,N/A,N/A,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
27,SUNY New Paltz,2.700000000000001,Masters,Boston,F,1,1,0,0,Junior SWE,2/18,2/19,Junior SWE,6/14,6/15,Bus Driver,4/19,4/21
28,Rhode Island School of Design,2.8000000000000016,Masters,Boston,M,1,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,Columbia University,3.0000000000000018,Masters,Providence,F,N/A,1,N/A,2,Bus Driver,4/20,4/22,N/A,N/A,N/A,N/A,N/A,N/A
30,SUNY New Paltz,2.200000000000001,Masters,New York City,F,0,1,1,0,Junior SWE,1/21,1/22,Chef,2/10,4/10,Bus Driver,7/18,9/18
31,Colgate University,2.4000000000000012,Phd,Boston,F,N/A,0,1,4,Chef,2/15,2/22,N/A,N/A,N/A,N/A,N/A,N/A
32,SUNY Binghamton University,2.000000000000001,Masters,Los Angeles,F,0,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Colgate University,3.6000000000000023,Masters,Providence,F,0,1,1,4,ML Engineer,3/10,N/A,Data scientist,8/22,12/22,Data scientist,9/16,9/20
34,Brown University,3.900000000000002,Phd,Boston,M,1,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,SUNY New Paltz,1.3,Masters,Detroit,F,1,0,N/A,1,Lawyer,9/22,N/A,Senior SWE,12/19,12/21,ML Engineer,4/10,4/13
36,Providence College,3.700000000000002,Bachelors,Detroit,F,N/A,0,0,4,Lawyer,10/12,10/21,N/A,N/A,N/A,N/A,N/A,N/A
37,SUNY New Paltz,1.2,Phd,Washington D.C.,N/A,1,0,1,1,Lawyer,3/17,3/20,Lawyer,8/15,8/16,Lawyer,11/15,11/20
38,Providence College,2.6000000000000014,Phd,Detroit,N/A,0,0,0,3,Chef,3/16,3/21,ML Engineer,12/14,12/19,Lawyer,8/15,8/22
39,SUNY Binghamton University,2.4000000000000012,Masters,Detroit,N/A,N/A,0,1,4,Data scientist,7/17,7/20,Senior SWE,8/15,8/20,Senior SWE,5/13,5/22
40,Bentley University,2.9000000000000012,Masters,Detroit,M,1,0,N/A,3,Chef,9/13,9/20,Lawyer,5/23,8/23,Senior SWE,10/21,11/21
41,Bentley University,2.000000000000001,Bachelors,Los Angeles,F,0,0,1,3,Senior SWE,6/16,6/17,Data scientist,2/15,2/18,Data scientist,3/15,3/21
42,Brown University,2.3000000000000007,Phd,Detroit,F,N/A,1,1,4,Junior SWE,1/12,N/A,ML Engineer,9/16,9/20,Chef,7/12,7/17
43,Brown University,3.6000000000000023,Masters,Detroit,N/A,0,1,1,2,Data scientist,5/17,5/18,Bus Driver,1/20,1/22,Senior SWE,12/23,1/24
44,Columbia University,3.3000000000000016,Masters,Chicago,F,N/A,0,0,4,ML Engineer,12/12,12/21,Lawyer,5/22,11/22,Data scientist,8/20,11/20
45,Rhode Island School of Design,2.000000000000001,Bachelors,Boston,M,N/A,1,0,1,Bus Driver,3/12,3/19,Lawyer,6/16,7/16,Data scientist,4/16,4/19
46,SUNY New Paltz,2.500000000000001,Bachelors,Miami,F,0,1,1,0,Data scientist,7/22,8/22,Chef,10/19,10/22,Lawyer,3/14,3/18
47,Bentley University,2.8000000000000016,Masters,Miami,N/A,1,1,0,4,ML Engineer,12/17,1/18,Chef,3/19,6/19,Bus Driver,9/18,9/21
48,Rhode Island School of Design,1.2,Bachelors,Washington D.C.,M,0,1,1,2,ML Engineer,4/17,8/17,Chef,6/10,6/18,Data scientist,6/23,12/23
49,SUNY Binghamton University,2.8000000000000016,Bachelors,Boston,N/A,0,0,1,4,Bus Driver,6/10,6/13,Senior SWE,8/23,12/23,N/A,N/A,N/A
50,Providence College,2.6000000000000014,Bachelors,Chicago,F,0,1,0,4,Junior SWE,3/12,3/16,ML Engineer,1/19,1/21,Data scientist,1/23,4/23
51,SUNY Binghamton University,2.000000000000001,Masters,Boston,N/A,1,1,N/A,3,Junior SWE,6/22,9/22,Bus Driver,3/23,4/23,Lawyer,11/16,11/21
52,Providence College,3.5000000000000018,Masters,Providence,N/A,N/A,0,0,2,Junior SWE,6/23,7/23,N/A,N/A,N/A,N/A,N/A,N/A
53,Rhode Island School of Design,2.4000000000000012,Masters,Chicago,N/A,0,0,0,3,Chef,9/15,N/A,Lawyer,2/19,2/22,Lawyer,8/13,8/16
54,SUNY New Paltz,1.3,Bachelors,Los Angeles,M,1,1,0,0,ML Engineer,2/13,2/18,N/A,N/A,N/A,N/A,N/A,N/A
55,Rhode Island School of Design,3.200000000000002,Bachelors,Chicago,M,N/A,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,Colgate University,3.1000000000000014,Masters,Boston,M,N/A,1,N/A,0,Senior SWE,10/20,10/21,Data scientist,5/12,5/15,Lawyer,9/18,9/22
57,Rhode Island School of Design,2.700000000000001,Phd,Detroit,N/A,N/A,0,N/A,4,Data scientist,9/14,11/14,Junior SWE,7/13,7/16,N/A,N/A,N/A
58,SUNY New Paltz,2.3000000000000007,Phd,Detroit,F,N/A,0,1,0,Chef,6/17,6/21,Lawyer,2/13,2/22,Senior SWE,2/16,2/17
59,Providence College,1.2,Bachelors,Boston,F,1,0,0,3,Senior SWE,2/17,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,Colgate University,3.6000000000000023,Bachelors,Los Angeles,F,0,1,N/A,3,Data scientist,5/13,5/17,Data scientist,12/23,1/24,Junior SWE,8/10,8/12
61,Rhode Island School of Design,2.500000000000001,Phd,Miami,N/A,N/A,0,0,1,Junior SWE,2/18,2/19,Bus Driver,8/10,9/10,Junior SWE,4/18,12/18
62,SUNY Binghamton University,2.6000000000000014,Phd,Boston,F,N/A,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,Columbia University,1.2,Bachelors,New York City,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,Rhode Island School of Design,2.000000000000001,Bachelors,Los Angeles,N/A,0,0,N/A,3,ML Engineer,2/17,2/18,Junior SWE,3/23,12/23,Junior SWE,5/10,5/19
65,Columbia University,3.8000000000000025,Phd,Miami,F,N/A,1,0,1,Senior SWE,6/11,6/15,Bus Driver,8/12,8/20,Bus Driver,1/13,1/16
66,Brown University,1.9000000000000006,Bachelors,New York City,F,0,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67,Brown University,2.9000000000000012,Phd,New York City,N/A,0,1,1,1,Junior SWE,12/19,12/20,Senior SWE,2/16,6/16,ML Engineer,6/10,6/22
68,Bentley University,2.9000000000000012,Bachelors,Washington D.C.,M,0,0,N/A,3,Junior SWE,7/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,Providence College,3.400000000000002,Bachelors,Washington D.C.,N/A,N/A,1,N/A,4,Senior SWE,3/12,3/13,Lawyer,12/20,12/22,ML Engineer,10/17,10/21
70,Brown University,3.400000000000002,Phd,New York City,M,1,0,N/A,1,Senior SWE,11/10,11/16,Senior SWE,9/17,9/21,Junior SWE,1/19,5/19
71,Rhode Island School of Design,2.9000000000000012,Bachelors,Detroit,M,N/A,0,N/A,0,Chef,1/17,9/17,N/A,N/A,N/A,N/A,N/A,N/A
72,Providence College,3.900000000000002,Bachelors,Boston,M,0,0,0,3,Junior SWE,2/14,2/20,Chef,2/16,2/17,N/A,N/A,N/A
73,Providence College,2.000000000000001,Masters,Chicago,M,1,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
74,SUNY Binghamton University,2.4000000000000012,Phd,Chicago,M,1,0,N/A,2,Junior SWE,10/14,10/19,ML Engineer,1/16,1/20,N/A,N/A,N/A
75,Rhode Island School of Design,3.5000000000000018,Masters,Washington D.C.,F,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
76,Providence College,3.6000000000000023,Phd,Providence,N/A,0,1,0,1,Bus Driver,12/19,1/20,Senior SWE,12/10,12/15,Lawyer,3/15,3/17
77,Bentley University,2.4000000000000012,Phd,Washington D.C.,F,0,1,1,3,Bus Driver,9/13,9/17,Data scientist,11/18,11/21,N/A,N/A,N/A
78,Bentley University,1.4000000000000001,Bachelors,New York City,M,1,0,0,4,Bus Driver,7/11,7/20,Senior SWE,10/17,11/17,Junior SWE,12/10,12/14
79,Brown University,2.000000000000001,Phd,Chicago,M,N/A,0,1,4,Lawyer,6/11,6/16,Chef,2/11,2/12,Lawyer,8/12,8/13
80,Providence College,3.200000000000002,Masters,Los Angeles,N/A,0,1,0,0,ML Engineer,10/20,10/21,Junior SWE,4/10,4/21,ML Engineer,3/19,3/22
81,Bentley University,3.1000000000000014,Phd,Detroit,N/A,0,1,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82,Rhode Island School of Design,2.000000000000001,Phd,Boston,M,0,1,N/A,0,Data scientist,2/15,2/19,Junior SWE,1/20,8/20,ML Engineer,11/18,12/18
83,SUNY New Paltz,2.8000000000000016,Masters,Providence,N/A,1,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
84,Columbia University,3.1000000000000014,Masters,Boston,M,N/A,1,0,4,Data scientist,9/19,11/19,Chef,9/11,9/19,Lawyer,5/14,5/15
85,Providence College,2.6000000000000014,Bachelors,Los Angeles,N/A,1,1,0,3,Bus Driver,3/19,3/20,Data scientist,8/19,9/19,Data scientist,3/10,5/10
86,Bentley University,3.5000000000000018,Masters,Chicago,M,0,0,0,3,Bus Driver,1/18,1/20,Junior SWE,4/10,4/20,Senior SWE,2/14,2/18
87,SUNY New Paltz,2.4000000000000012,Phd,Los Angeles,N/A,N/A,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
88,Rhode Island School of Design,2.9000000000000012,Bachelors,Washington D.C.,N/A,N/A,1,0,4,ML Engineer,12/11,12/22,Chef,1/20,1/21,ML Engineer,6/13,6/15
89,SUNY New Paltz,4.000000000000003,Phd,Washington D.C.,M,0,1,N/A,1,Senior SWE,11/19,12/19,N/A,N/A,N/A,N/A,N/A,N/A
90,Brown University,3.700000000000002,Phd,Washington D.C.,M,N/A,0,1,4,ML Engineer,12/22,1/23,Lawyer,3/19,4/19,ML Engineer,3/12,3/15
91,Rhode Island School of Design,3.900000000000002,Phd,Miami,F,N/A,0,N/A,2,Lawyer,3/15,8/15,N/A,N/A,N/A,N/A,N/A,N/A
92,Brown University,3.900000000000002,Phd,Washington D.C.,N/A,0,0,0,1,Bus Driver,5/13,5/17,ML Engineer,2/16,2/21,Data scientist,2/14,2/20
93,Colgate University,1.8000000000000005,Phd,New York City,M,0,0,1,0,Bus Driver,5/16,5/21,Senior SWE,7/22,12/22,Junior SWE,1/19,1/22
94,Bentley University,1.9000000000000006,Phd,Providence,F,1,1,1,1,Junior SWE,10/11,N/A,Chef,7/21,7/22,Chef,9/11,9/18
95,Bentley University,1.6000000000000003,Bachelors,Boston,F,N/A,1,N/A,0,Chef,1/19,1/22,Bus Driver,2/21,10/21,ML Engineer,12/15,12/19
96,Colgate University,2.8000000000000016,Phd,Detroit,N/A,0,0,1,0,Chef,2/14,2/15,Lawyer,9/11,9/14,ML Engineer,10/18,10/19
97,Bentley University,1.4000000000000001,Masters,Chicago,N/A,1,0,1,3,Data scientist,6/15,6/19,Senior SWE,8/19,11/19,Senior SWE,3/14,4/14
98,SUNY New Paltz,1.4000000000000001,Bachelors,Boston,F,N/A,0,N/A,1,Bus Driver,3/18,6/18,ML Engineer,12/21,12/22,Chef,2/11,2/17
99,Rhode Island School of Design,3.3000000000000016,Phd,Los Angeles,N/A,N/A,1,N/A,1,Data scientist,5/20,10/20,Chef,1/18,1/22,Bus Driver,10/22,12/22
100,SUNY Binghamton University,1.2,Masters,Los Angeles,F,N/A,0,1,2,Junior SWE,3/20,3/22,Lawyer,9/11,9/12,Lawyer,8/15,10/15
101,SUNY New Paltz,2.200000000000001,Bachelors,Detroit,N/A,N/A,0,1,1,Junior SWE,1/16,1/21,N/A,N/A,N/A,N/A,N/A,N/A
102,Brown University,1.5000000000000002,Masters,Miami,N/A,1,1,N/A,3,Bus Driver,2/20,N/A,Bus Driver,9/12,9/13,Chef,2/11,7/11
