Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Interview prediction
1,Rhode Island School of Design,3.1,Bachelors,Miami,M,1,0,0,2,ML Engineer,7/16,7/22,Junior SWE,11/19,11/22,Senior SWE,12/21,12/22,5.63,0
2,Bentley University,1.9,Phd,New York City,N/A,0,0,1,0,Bus Driver,11/13,11/18,ML Engineer,11/14,12/14,N/A,N/A,N/A,5.02,0
3,SUNY New Paltz,1.7,Masters,Washington D.C.,M,1,1,1,1,Data scientist,4/22,6/22,N/A,N/A,N/A,N/A,N/A,N/A,3.69,0
4,Brown University,2.8,Bachelors,Los Angeles,F,1,0,1,2,Senior SWE,6/22,11/22,Lawyer,1/12,4/12,Lawyer,8/13,8/14,3.3,0
5,SUNY Binghamton University,2.8,Masters,Los Angeles,N/A,1,1,N/A,4,Lawyer,6/11,N/A,Junior SWE,6/10,7/10,Junior SWE,7/23,10/23,1.67,0
6,Columbia University,4.0,Masters,Providence,F,N/A,1,N/A,2,Bus Driver,6/20,6/21,Junior SWE,1/17,1/22,Senior SWE,7/10,7/15,8.1,0
7,SUNY New Paltz,3.3,Bachelors,Detroit,N/A,N/A,1,0,3,Bus Driver,10/14,11/14,N/A,N/A,N/A,N/A,N/A,N/A,2.35,0
8,Bentley University,2.5,Phd,Detroit,N/A,1,0,1,4,Bus Driver,10/19,N/A,Senior SWE,11/16,11/18,N/A,N/A,N/A,2.49,0
9,Colgate University,1.7,Masters,Miami,F,0,0,1,2,Bus Driver,10/11,10/14,Data scientist,8/21,8/22,Data scientist,2/21,7/21,1.76,1
10,SUNY New Paltz,4.0,Bachelors,Los Angeles,F,0,0,0,3,Bus Driver,9/19,9/22,Data scientist,8/12,8/21,Lawyer,7/21,7/22,2.58,1
11,Brown University,2.3,Phd,Washington D.C.,N/A,N/A,1,1,0,Lawyer,3/14,3/20,ML Engineer,8/21,9/21,Data scientist,5/15,5/19,7.55,0
12,Rhode Island School of Design,4.0,Bachelors,New York City,M,0,0,1,0,Senior SWE,8/12,8/18,Chef,1/21,11/21,Junior SWE,4/16,4/18,6.41,0
13,Rhode Island School of Design,1.2,Masters,Washington D.C.,N/A,N/A,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.61,0
14,Colgate University,3.2,Phd,Detroit,F,1,0,1,0,Bus Driver,6/19,6/20,Bus Driver,1/10,1/22,Data scientist,4/19,12/19,8.28,1
15,Colgate University,3.6,Bachelors,Los Angeles,M,1,1,0,3,Lawyer,11/20,11/21,Bus Driver,4/10,4/14,ML Engineer,8/18,8/22,3.11,0
16,Columbia University,2.1,Masters,Providence,N/A,1,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.85,0
17,SUNY Binghamton University,3.6,Masters,Los Angeles,N/A,0,1,1,2,Senior SWE,9/20,9/22,Data scientist,4/22,5/22,Bus Driver,8/13,8/18,9.17,0
18,SUNY New Paltz,2.4,Bachelors,Chicago,M,0,0,0,0,Bus Driver,8/11,10/11,Lawyer,11/15,11/18,Chef,3/18,3/19,7.97,0
19,Colgate University,2.9,Masters,New York City,M,N/A,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.05,1
20,Bentley University,2.5,Bachelors,Boston,N/A,N/A,0,0,3,Bus Driver,1/23,5/23,Chef,10/22,11/22,Data scientist,2/22,10/22,3.78,0
21,SUNY Binghamton University,4.0,Phd,Detroit,N/A,N/A,0,0,4,Data scientist,10/12,10/19,Lawyer,7/15,7/21,N/A,N/A,N/A,0.61,0
22,Bentley University,4.0,Phd,Providence,N/A,0,1,0,4,ML Engineer,3/22,7/22,Senior SWE,9/12,9/16,Senior SWE,9/11,9/22,8.23,0
23,Rhode Island School of Design,2.9,Phd,Washington D.C.,N/A,N/A,1,1,0,ML Engineer,8/20,11/20,Junior SWE,5/20,9/20,N/A,N/A,N/A,9.35,0
24,Bentley University,3.7,Phd,New York City,F,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.53,1
25,Providence College,1.8,Bachelors,Detroit,F,1,0,N/A,3,Bus Driver,5/22,10/22,N/A,N/A,N/A,N/A,N/A,N/A,8.92,1
26,Colgate University,2.9,Masters,Detroit,N/A,N/A,1,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.61,0
27,SUNY New Paltz,2.7,Masters,Boston,F,1,1,0,0,Junior SWE,2/18,2/19,Junior SWE,6/14,6/15,Bus Driver,4/19,4/21,3.52,0
28,Rhode Island School of Design,2.8,Masters,Boston,M,1,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.54,0
29,Columbia University,3.0,Masters,Providence,F,N/A,1,N/A,2,Bus Driver,4/20,4/22,N/A,N/A,N/A,N/A,N/A,N/A,8.37,1
30,SUNY New Paltz,2.2,Masters,New York City,F,0,1,1,0,Junior SWE,1/21,1/22,Chef,2/10,4/10,Bus Driver,7/18,9/18,5.28,0
31,Colgate University,2.4,Phd,Boston,F,N/A,0,1,4,Chef,2/15,2/22,N/A,N/A,N/A,N/A,N/A,N/A,1.27,0
32,SUNY Binghamton University,2.0,Masters,Los Angeles,F,0,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.52,1
33,Colgate University,3.6,Masters,Providence,F,0,1,1,4,ML Engineer,3/10,N/A,Data scientist,8/22,12/22,Data scientist,9/16,9/20,0.83,0
34,Brown University,3.9,Phd,Boston,M,1,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.12,1
35,SUNY New Paltz,1.3,Masters,Detroit,F,1,0,N/A,1,Lawyer,9/22,N/A,Senior SWE,12/19,12/21,ML Engineer,4/10,4/13,1.1,0
